"","Ticker_x","SimFinId","Report.Date","Fiscal.Year","Current.Ratio","Quick.Ratio","Total.Debt.Ratio","Debt.to.Asset.Ratio","Cash.Coverage.Ratio","Interest.Coverage.Ratio","Current.Ratio.T","Current.Ratio.out","Quick.Ratio.T","Quick.Ratio.Out","Total.Debt.Ratio.T","Total.Debt.Ratio.out","Debt.to.Asset.Ratio.T","Debt.to.Asset.Ratio.out","Cash.Coverage.Ratio.T","Cash.Coverage.Ratio.out","Interest.Coverage.Ratio.T","Interest.Coverage.Ratio.out"
"7025","NUAN",448077,"9/30/14",2014,1.813838,1.583264,0.55638,0.366344,1.537735,-0.163915,0.595445042302554,0,0.459488538945969,0,-0.586303764941947,0,-1.00418249629109,0,8.32622340263432,0,8.66524003812647,0
"7026","NUAN",448077,"9/30/15",2015,1.575112,1.45254,0.589026,0.382429,2.46318,0.473643,0.454326380860432,0,0.373313748091079,0,-0.529284953690206,0,-0.961212263860273,0,8.32644741350304,0,8.66534999690053,0
"7027","NUAN",448077,"9/30/16",2016,1.503244,1.390166,0.658864,0.429774,2.883977,1.079731,0.407625439577505,0,0.329423164472499,0,-0.417238139070396,0,-0.844495789856193,0,8.32654925396363,0,8.66545451687659,0
"7028","NUAN",448077,"9/30/17",2017,1.194699,1.115286,0.674409,0.44124,1.909633,0.346536,0.177894270810474,0,0.109110874263159,0,-0.393918527187808,0,-0.818166333880956,0,8.32631342935168,0,8.66532807589148,0
"7029","NUAN",448077,"9/30/18",2018,1.215225,1.086644,0.67609,0.412147,2.30065,0.656606,0.194929244833037,0,0.0830940475972512,0,-0.391429075706322,0,-0.886375197152704,0,8.32640807553602,0,8.66538155005136,0
"7063","NVDA",172199,"1/31/11",2010,3.423159,3.011973,0.292261,0.005203,72.31921174,48.54982858,1.23056380895129,0,1.10259534575404,0,-1.23010804033059,0,-5.25851989667397,0,8.34321335633506,0,8.67360699334915,0
"7064","NVDA",172199,"1/31/12",2011,4.199499,3.726748,0.253417,0.003861,72.31921174,48.54982858,1.43496523245993,0,1.31553600350763,0,-1.37271892573685,0,-5.55682906170004,0,8.34321335633506,0,8.67360699334915,0
"7065","NVDA",172199,"1/31/13",2012,4.891565,4.283996,0.247112,0.002963,72.31921174,48.54982858,1.58751229318441,0,1.45488621887825,0,-1.39791360383205,0,-5.82155301039071,0,8.34321335633506,0,8.67360699334915,0
"7066","NVDA",172199,"1/31/14",2013,5.948953,5.392056,0.3854,0.189477,72.31921174,48.54982858,1.78321523768708,0,1.68492675931275,0,-0.953473523001871,0,-1.6634876338575,0,8.34321335633506,0,8.67360699334915,0
"7067","NVDA",172199,"1/31/15",2014,6.376116,5.688616,0.386474,0.19414,54.388889,42.166667,1.85255913454701,0,1.73846698480871,0,-0.950690683592575,0,-1.63917573069806,0,8.33893669441966,0,8.67251461428491,0
