"","Ticker","Fiscal.Year","SimFinId.x","Company.Name","Industry","Book.to.Market.Ratio","Sales.Per.Share","Return.On.Equity","Operating.Profit.Margin","Receivable.Turnover","Total.Debt.Ratio","Current.Ratio","logreturn","actual_re","Book.to.Market.Ratio.log","Sales.Per.Share.log","Return.On.Equity.log","Operating.Profit.Margin.log","Receivable.Turnover.log","Total.Debt.Ratio.log","Current.Ratio.log"
"1","AAPL",2010,111052,"APPLE INC","Computer Hardware",0.160224569748494,10.0764964041314,1.09585486807139,0.281870448447681,19.4064266587325,0.364338,2.011292,0.461071407568028,0.585772083365604,-1.83117888689116,2.31020562326844,0.0915347601146803,0.248320299139174,2.96560428227982,-0.145791382974596,0.698777301642155
"2","AAPL",2011,111052,"APPLE INC","Computer Hardware",0.201968707070775,16.5101429646695,1.15021862559551,0.312150689613761,19.6459165154265,0.341632,1.608438,0.292187902719904,0.339354662380166,-1.59964250907279,2.80397491717192,0.139952033520179,0.271667538815117,2.97786950579982,-0.172412414907852,0.475263521725584
"3","AAPL",2012,111052,"APPLE INC","Computer Hardware",0.234966889644873,23.6506841045153,1.06403857541663,0.352959593119841,29.1503073197988,0.328596,1.495849,0.434813768192735,0.544675364478475,-1.44831066989283,3.16339204071474,0.0620716453530718,0.302294484086256,3.37246545544415,-0.188022576770232,0.402693938629045
"4","AAPL",2013,111052,"APPLE INC","Computer Hardware",0.23637556831002,26.2066224507539,1.09859246129066,0.286694751623662,15.6367795059469,0.403145,1.678639,0.0071322396156166,0.00715773461268437,-1.44233334773345,3.26601214412324,0.094029779797124,0.252076722257193,2.74962579997197,-0.101872162597825,0.51798334604378
"5","AAPL",2014,111052,"APPLE INC","Computer Hardware",0.165054416271827,29.8554730188482,1.28055438514707,0.287223392324735,13.9516867653793,0.51886,1.080113,0.453877776933484,0.574405557039808,-1.80148006386534,3.3963681737471,0.247293097561139,0.252487489561312,2.63560041603869,0.0186843552041278,0.0770656652924601
"6","AAPL",2015,111052,"APPLE INC","Computer Hardware",0.195735027011678,40.343900616409,1.51599011352687,0.304772907173267,13.3857388316151,0.58892,1.108771,0.115583447962958,0.122528183330253,-1.63099343739856,3.69744022136689,0.416068765778647,0.266029008140106,2.59418987392597,0.0851863793607227,0.103252194710315
"7","AAPL",2016,111052,"APPLE INC","Computer Hardware",0.201319363866735,39.2050878855098,1.28819717892537,0.278354101067061,12.7983263101668,0.601322,1.352669,-0.0352343421110737,-0.0346208392425127,-1.60286275689054,3.66880653137173,0.253243705192975,0.245573391964696,2.54931440535791,0.0965112763807732,0.302079677721704
"8","AAPL",2017,111052,"APPLE INC","Computer Hardware",0.150827487511306,43.6495514207612,1.31667997045812,0.267604282087299,14.5508442300368,0.642845,1.276063,0.4127829992669,0.511017098536929,-1.89161856209245,3.77619300550339,0.275113394339284,0.237128726935028,2.67764901461719,0.133520767568077,0.243779556744542
"9","AAPL",2018,111052,"APPLE INC","Computer Hardware",0.135849707425281,53.1178420310437,1.96346141282537,0.26694026619477,14.8592928275708,0.707029,1.132926,0.265750259461307,0.304409254135515,-1.99620609677216,3.97251287992739,0.674708942602112,0.23660475436712,2.69862544916468,0.188161968338776,0.124803666585412
"10","ADBE",2010,14099,"Adobe Systems","Application Software",0.320817487910086,7.22675267770204,0.18462279487257,0.267457894736842,9.24846487652082,0.362205,3.011035,-0.152881160804399,-0.141768292682927,-1.13688289104015,1.97778978972855,-1.68944048202009,0.237013236788902,2.22445757845652,-0.148262217567384,1.10228387347721
"11","ADBE",2011,14099,"Adobe Systems","Application Software",0.405950810363453,8.36690274864512,0.20099157668197,0.28391810937566,7.60607077398219,0.356802,3.015282,0.0388263672524278,0.0395899611170025,-0.901523283460738,2.12428377404107,-1.60449227885606,0.249916425489069,2.02894671448279,-0.154548425584282,1.10369335814358
"12","ADBE",2012,14099,"Adobe Systems","Application Software",0.351863397184454,8.75968380075629,0.161326577428793,0.267338862500588,6.94177873270142,0.336152,3.457487,0.176489952991434,0.193022440392707,-1.04451225488562,2.17015980849275,-1.82432453725178,0.236919318224424,1.93755804322108,-0.17894486424254,1.24054202460755
"13","ADBE",2013,14099,"Adobe Systems","Application Software",0.218712680800755,7.89762325795169,0.0964207122647864,0.110775194563084,6.5700310903662,0.352173,2.651941,0.464339142109405,0.590962441314554,-1.51999637035229,2.06656186078367,-2.33903424292568,0.105058145055218,1.88251856465674,-0.159965721121823,0.975291824715657
"14","ADBE",2014,14099,"Adobe Systems","Application Software",0.183298546878774,8.15580750471995,0.0956443456630516,0.104307021954081,6.91384915474642,0.371777,1.845038,0.249991043888971,0.284013916865043,-1.69663905172505,2.09873025075639,-2.34711869970939,0.0992180087884663,1.93352652389759,-0.137221621723613,0.612499873486354
"15","ADBE",2015,14099,"Adobe Systems","Application Software",0.146959302183253,9.45554298017998,0.152146801150597,0.188646006650803,8.10326292666441,0.402925,2.178347,0.237314087601132,0.267839267839268,-1.9175995864313,2.24660112829651,-1.88290942717435,0.1728148497896,2.09226681101639,-0.102115785492937,0.778566332298112
"16","ADBE",2016,14099,"Adobe Systems","Application Software",0.143011956775056,11.6090454274151,0.230861830599603,0.254865802477782,8.71187162019387,0.415241,2.077003,0.188610474911557,0.207570481860047,-1.94482703840609,2.45178457246867,-1.46593588334746,0.227028636569707,2.16468664954801,-0.0885678604089977,0.730925989283881
