"","Ticker","SimFinId","Company.Name","IndustryId","Sector","Industry","Report.Date","Fiscal.Year","Return.On.Assets","Book.to.Market.Ratio","Earning.Per.Share","Sales.Per.Share","Price.to.Earning.Ratio","Return.On.Assets.t","Return.On.Assets.out","Earning.Per.Share.t","Earning.Per.Share.out","Sales.Per.Share.t","Sales.Per.Share.out","Price.to.Earning.Ratio.t","Price.to.Earning.Ratio.out","Book.to.Market.Ratio.t","Book.to.Market.Ratio.out"
"25","AAOI",671827,"APPLIED OPTOELECTRONICS, INC.",101004,"Technology","Semiconductors","2013-12-31",2013,0.465364632576065,0.421711064306274,-0.141094465554536,7.86998034612299,-106.382627702703,1.65872585277787,"False",3.12881620847051,"False",2.06305556511018,"False",9.33993598176128,"False",-0.8634348811864,"False"
"26","AAOI",671827,"APPLIED OPTOELECTRONICS, INC.",101004,"Technology","Semiconductors","2014-12-31",2014,0.463722981434094,0.674962152462102,0.282018239198744,8.58953940818048,39.7846608498716,1.65841326408511,"False",3.14716627705598,"False",2.15054511502197,"False",9.35269432109305,"False",-0.393098660108128,"False"
"27","AAOI",671827,"APPLIED OPTOELECTRONICS, INC.",101004,"Technology","Semiconductors","2015-12-31",2015,0.488070207514398,0.582995556638939,0.652821503854447,11.4864043404495,26.2858988233114,1.66303925579975,"False",3.16297545036246,"False",2.44116410471728,"False",9.35152286838836,"False",-0.539575714206248,"False"
"28","AAOI",671827,"APPLIED OPTOELECTRONICS, INC.",101004,"Technology","Semiconductors","2016-12-31",2016,0.566493338876513,0.547661154262957,1.7633448292682,14.7187974794455,13.2929190087725,1.67779588300728,"False",3.20888030913146,"False",2.68912541699123,"False",9.3503940109739,"False",-0.602098514916907,"False"
"29","AAOI",671827,"APPLIED OPTOELECTRONICS, INC.",101004,"Technology","Semiconductors","2017-12-31",2017,0.623905038588559,0.437564771462524,3.67201025070379,18.9844086914488,10.2995355181133,1.68846244929428,"False",3.28316514957827,"False",2.943618047107,"False",9.35013375881053,"False",-0.82653053508545,"False"
"30","AAOI",671827,"APPLIED OPTOELECTRONICS, INC.",101004,"Technology","Semiconductors","2018-12-31",2018,0.298230657184474,1.08556990044737,-0.109227871939736,13.6135287830203,-141.264310344828,1.62638942033702,"False",3.13021002409748,"False",2.61106406175009,"False",9.33686709404846,"False",0.0821051029634388,"False"
"48","AAPL",111052,"APPLE INC",101001,"Technology","Computer Hardware","2009-09-30",2009,0.772383739289699,0.165537309595155,1.29704750406952,6.7577198739651,23.2100982466302,1.71553211366804,"False",3.18986132627367,"False",1.9106855364068,"False",9.35125575146906,"False",-1.79855867395154,"False"
"49","AAPL",111052,"APPLE INC",101001,"Technology","Computer Hardware","2010-09-30",2010,0.756806724924518,0.160224569748495,2.16484391124712,10.0764964041314,21.285599280668,1.71272637507548,"False",3.22497144544909,"False",2.31020562326844,"False",9.35108858267477,"False",-1.83117888689116,"False"
"50","AAPL",111052,"APPLE INC",101001,"Technology","Computer Hardware","2011-09-30",2011,0.828445231200213,0.201968707070775,3.95362475339414,16.5101429646695,14.6339381223092,1.72556528028604,"False",3.29367292486073,"False",2.80397491717192,"False",9.35051058052722,"False",-1.59964250907279,"False"
"51","AAPL",111052,"APPLE INC",101001,"Technology","Computer Hardware","2012-09-30",2012,0.794086241366776,0.234966889644873,6.30647634455578,23.6506841045153,12.0550202436944,1.71942809976732,"False",3.377399387419,"False",3.16339204071474,"False",9.35028639320707,"False",-1.44831066989283,"False"
"52","AAPL",111052,"APPLE INC",101001,"Technology","Computer Hardware","2013-09-30",2013,0.719072463768116,0.23637556831002,5.67909821372987,26.2066224507539,14.1123990083916,1.70589685155093,"False",3.35575048024042,"False",3.26601214412324,"False",9.35046524678395,"False",-1.44233334773345,"False"
"53","AAPL",111052,"APPLE INC",101001,"Technology","Computer Hardware","2014-09-30",2014,0.676396119721013,0.165054416271827,6.45307442202845,29.8554730188482,17.1050251060491,1.69811623410795,"False",3.38239119629936,"False",3.39636817374711,"False",9.35072534688313,"False",-1.80148006386534,"False"
"54","AAPL",111052,"APPLE INC",101001,"Technology","Computer Hardware","2015-09-30",2015,0.689049234531333,0.195735027011678,9.21687623606762,40.343900616409,11.4203551511406,1.70042943066657,"False",3.47211824978261,"False",3.69744022136689,"False",9.35023121357384,"False",-1.63099343739856,"False"
