"","Ticker","SimFinId","Company.Name","Sector","Industry","Fiscal.Year","Operating.Profit.Margin","Operating.Profit.Margin.out","Return.On.Capital","Return.On.Capital.t","Return.On.Capital.out","Return.On.Equity","Return.On.Equity.t","Return.On.Equity.out","Book.to.Market.Ratio","Book.to.Market.Ratio.t","Book.to.Market.Ratio.out","Receivable.Turnover","Receivable.Turnover.t","Receivable.Turnover.out","Return","Return2","Return3","Return4","Year.adj"
"1","AAOI",671827,"APPLIED OPTOELECTRONICS, INC.","Technology","Semiconductors",2013,-0.00391461797408957,FALSE,0.717805555555556,0.895369449152562,FALSE,0.819347781283194,0.935741937831234,FALSE,0.421711064306274,-0.642657929564118,FALSE,5.79844731977819,1.80893843980586,FALSE,0.501,0.268,0.237440856015034,1.268,2012
"2","AAOI",671827,"APPLIED OPTOELECTRONICS, INC.","Technology","Semiconductors",2014,0.0393870401459574,FALSE,0.635284816027568,0.859652291393689,FALSE,0.740548812297847,0.904727719356047,FALSE,0.674962152462102,-0.249559568546412,FALSE,5.90560912671465,1.82634221173679,FALSE,-0.245967741935484,0.254079254079254,0.226401641233767,1.25407925407925,2013
"3","AAOI",671827,"APPLIED OPTOELECTRONICS, INC.","Technology","Semiconductors",2015,0.0708203661869481,FALSE,0.669399934802778,0.874772701690406,FALSE,0.806992829417526,0.931014743706892,FALSE,0.582995556638939,-0.375162983428171,FALSE,6.01168128145874,1.84327579149277,FALSE,0.521276595744681,0.280745341614907,0.247442206598397,1.28074534161491,2014
"4","AAOI",671827,"APPLIED OPTOELECTRONICS, INC.","Technology","Semiconductors",2016,0.0882963258448946,FALSE,0.69599573081248,0.886207712364408,FALSE,0.80300724765155,0.929479512838611,FALSE,0.547661154262957,-0.427951744903844,FALSE,6.72373952288846,1.95008093484108,FALSE,0.382075471698113,-0.0674102812803104,-0.0697899189881253,0.93258971871969,2015
"5","AAOI",671827,"APPLIED OPTOELECTRONICS, INC.","Technology","Semiconductors",2017,0.22742454796785,FALSE,0.739306155761806,0.904221385301601,FALSE,0.848002856491316,0.946525761022196,FALSE,0.437564771462524,-0.612957125010893,FALSE,7.68253426033838,2.0779468259953,FALSE,0.595107549557149,1.11636363636364,0.749699350064867,2.11636363636364,2016
"6","AAOI",671827,"APPLIED OPTOELECTRONICS, INC.","Technology","Semiconductors",2018,-0.0402594732021012,FALSE,0.357519605980145,0.709741098474906,FALSE,0.423058457462002,0.750700653368279,FALSE,1.08556990044737,0.17374455841639,FALSE,4.46892230576441,1.56327653294226,FALSE,-0.591798941798942,-0.514229151200198,-0.722018270802013,0.485770848799802,2017
"7","AAPL",111052,"APPLE INC","Technology","Computer Hardware",2009,0.273627782309754,FALSE,0.978755473334774,0.992867742958224,FALSE,1.15957648546144,1.0505896870459,FALSE,0.165537309595155,-1.31037451327324,FALSE,17.7146985962015,2.8914942134092,FALSE,1.45379260877362,0.779473861586345,0.576317737232159,1.77947386158635,2008
"8","AAPL",111052,"APPLE INC","Technology","Computer Hardware",2010,0.281870448447681,FALSE,0.989161878424767,0.996374161996296,FALSE,1.1905798162834,1.0598705835484,FALSE,0.160224569748495,-1.3302684032626,FALSE,19.4064266587325,2.98122472640783,FALSE,0.511315185306658,0.585772083365604,0.461071407568028,1.5857720833656,2009
"9","AAPL",111052,"APPLE INC","Technology","Computer Hardware",2011,0.312150689613761,FALSE,1.06511487086813,1.02125018782109,FALSE,1.25833061410951,1.07960508369465,FALSE,0.201968707070775,-1.18367872399576,FALSE,19.6459165154265,2.99330099347944,FALSE,0.243703783319003,0.339354662380166,0.292187902719904,1.33935466238017,2010
"10","AAPL",111052,"APPLE INC","Technology","Computer Hardware",2012,0.352959593119841,FALSE,1.18272565772777,1.05753481291696,FALSE,1.18272565772777,1.05753481291696,FALSE,0.234966889644873,-1.0813169072935,FALSE,29.1503073197988,3.38289165849768,FALSE,0.390505713362412,0.544675364478475,0.434813768192735,1.54467536447847,2011
"11","AAPL",111052,"APPLE INC","Technology","Computer Hardware",2013,0.286694751623662,FALSE,1.05934851148325,1.01940389091894,FALSE,1.20476895806522,1.06406442351677,FALSE,0.23637556831002,-1.07717193603767,FALSE,15.6367795059469,2.76897573151601,FALSE,0.162146994771042,0.00715773461268437,0.0071322396156166,1.00715773461268,2012
"12","AAPL",111052,"APPLE INC","Technology","Computer Hardware",2014,0.287223392324735,FALSE,1.11585096844892,1.03721486324412,FALSE,1.4058199682645,1.1202369737365,FALSE,0.165054416271827,-1.31216647480532,FALSE,13.9516867653793,2.65726230261667,FALSE,0.482183190586386,0.574405557039808,0.453877776933484,1.57440555703981,2013
"13","AAPL",111052,"APPLE INC","Technology","Computer Hardware",2015,0.304772907173267,FALSE,1.15854392995298,1.05027775870276,FALSE,1.67619287000964,1.18788572393142,FALSE,0.195735027011678,-1.20425037108119,FALSE,13.3857388316151,2.6167573646807,FALSE,-0.0368076128916419,0.122528183330253,0.115583447962958,1.12252818333025,2014
"14","AAPL",111052,"APPLE INC","Technology","Computer Hardware",2016,0.278354101067061,FALSE,0.888150788507237,0.961233508602863,FALSE,1.41049832747234,1.12147825834651,FALSE,0.201319363866735,-1.18580197047849,FALSE,12.7983263101668,2.57290556554658,FALSE,0.150472663483091,-0.0346208392425127,-0.0352343421110737,0.965379160757487,2015
