"","Ticker","Year","SimFinId","Return"
"1","A","2007",45846,0.0500142897970849
"2","A","2008",45846,-0.573766021270794
"3","A","2009",45846,0.991666666666667
"4","A","2010",45846,0.319847085058936
"5","A","2011",45846,-0.159528392685274
"6","A","2012",45846,0.153459821428571
"7","A","2013",45846,0.367844439174769
"8","A","2014",45846,-0.000245183887915988
"9","A","2015",45846,0.027804759592035
"10","A","2016",45846,0.121212859230395
"11","A","2017",45846,0.46995427824951
"12","A","2018",45846,0.00965588846039739
"13","A","2019",45846,0.208721804511278
"14","AA","2016",367153,0.274660633484163
"15","AA","2017",367153,0.883566433566433
"16","AA","2018",367153,-0.508324084350722
"17","AA","2019",367153,0.0849547293392411
"18","AAC","2014",939324,0.546
"19","AAC","2015",939324,-0.382572076449628
"20","AAC","2016",939324,-0.616525423728814
"21","AAC","2017",939324,0.234567901234568
"22","AAC","2018",939324,-0.844789356984479
"23","AAC","2019",939324,0.314285714285714
"24","AAL","2007",68568,-0.7270365559473
"25","AAL","2008",68568,-0.46872852233677
"26","AAL","2009",68568,-0.373868046571798
"27","AAL","2010",68568,1.06818181818182
"28","AAL","2011",68568,-0.498516320474777
"29","AAL","2012",68568,1.59615384615385
"30","AAL","2013",68568,0.840379008746356
"31","AAL","2014",68568,1.14718787395293
"32","AAL","2015",68568,-0.212417096536478
"33","AAL","2016",68568,0.140469847420683
"34","AAL","2017",68568,0.108925549915398
"35","AAL","2018",68568,-0.378750238868718
"36","AAL","2019",68568,0.0127145581691036
"37","AAME","2007",450021,-0.548387096774194
"38","AAME","2008",450021,-0.521290322580645
"39","AAME","2009",450021,0.620253164556962
"40","AAME","2010",450021,0.537878787878788
"41","AAME","2011",450021,-0.0339805825242719
"42","AAME","2012",450021,0.611011980627071
"43","AAME","2013",450021,0.330097087378641
"44","AAME","2014",450021,-0.00488997555012215
"45","AAME","2015",450021,0.255639097744361
"46","AAME","2016",450021,-0.17434869739479
"47","AAME","2017",450021,-0.155555555555556
"48","AAME","2018",450021,-0.298063583815029
"49","AAME","2019",450021,0.0493827160493826
"50","AAN","2007",441241,-0.348419730416317
"51","AAN","2008",441241,0.293453684886555
"52","AAN","2009",441241,0.0392413793103448
"53","AAN","2010",441241,0.365430466229889
"54","AAN","2011",441241,0.30409756097561
"55","AAN","2012",441241,0.0408373117884686
"56","AAN","2013",441241,0.0261838440111421
"57","AAN","2014",441241,0.0416581719334013
"58","AAN","2015",441241,-0.270236936059721
"59","AAN","2016",441241,0.451492537313433
"60","AAN","2017",441241,0.233410493827161
"61","AAN","2018",441241,0.0594071841245917
"62","AAN","2019",441241,0.27322206095791
"63","AAOI","2013",671827,0.501
"64","AAOI","2014",671827,-0.245967741935484
"65","AAOI","2015",671827,0.521276595744681
"66","AAOI","2016",671827,0.382075471698113
"67","AAOI","2017",671827,0.595107549557149
"68","AAOI","2018",671827,-0.591798941798942
"69","AAOI","2019",671827,-0.186666666666667
"70","AAON","2007",919501,0.189768063376921
"71","AAON","2008",919501,0.107976024248204
"72","AAON","2009",919501,-0.0224361017273249
"73","AAON","2010",919501,0.484606477539761
"74","AAON","2011",919501,0.111614001087188
"75","AAON","2012",919501,0.0245842371655821
"76","AAON","2013",919501,1.2615628977458
"77","AAON","2014",919501,0.0634995296331138
"78","AAON","2015",919501,0.0394678492239467
"79","AAON","2016",919501,0.458808063102542
"80","AAON","2017",919501,0.104932735426009
"81","AAON","2018",919501,-0.042489851150203
"82","AAON","2019",919501,0.33584032398033
"83","AAP","2007",184955,0.070568468216186
"84","AAP","2008",184955,-0.106040622527038
"85","AAP","2009",184955,0.202598936798582
"86","AAP","2010",184955,0.631203931203931
"87","AAP","2011",184955,0.0506766917293232
"88","AAP","2012",184955,0.0203823446724767
"89","AAP","2013",184955,0.509320996053885
"90","AAP","2014",184955,0.445451250453063
"91","AAP","2015",184955,-0.0627914205781785
"92","AAP","2016",184955,0.134740368509213
"93","AAP","2017",184955,-0.414861224967795
"94","AAP","2018",184955,0.562933597621407
"95","AAP","2019",184955,0.0924052254098361
"96","AAPL","2007",111052,1.29551962748741
"97","AAPL","2008",111052,-0.571684505973562
"98","AAPL","2009",111052,1.45379260877362
"99","AAPL","2010",111052,0.511315185306658
"100","AAPL","2011",111052,0.243703783319003
"101","AAPL","2012",111052,0.390505713362412
"102","AAPL","2013",111052,0.162146994771042
"103","AAPL","2014",111052,0.482183190586386
"104","AAPL","2015",111052,-0.0368076128916419
"105","AAPL","2016",111052,0.150472663483091
"106","AAPL","2017",111052,0.482642487046632
"107","AAPL","2018",111052,-0.0564174894217207
"108","AAPL","2019",111052,0.231067208987023
"109","AAWW","2007",762204,0.20730349588065
"110","AAWW","2008",762204,-0.650194336479734
"111","AAWW","2009",762204,0.960526315789474
"112","AAWW","2010",762204,0.46998420221169
"113","AAWW","2011",762204,-0.318858560794045
"114","AAWW","2012",762204,0.124873096446701
"115","AAWW","2013",762204,-0.0963987703118138
"116","AAWW","2014",762204,0.200097370983447
"117","AAWW","2015",762204,-0.168271174982949
"118","AAWW","2016",762204,0.287654320987654
"119","AAWW","2017",762204,0.123563218390805
"120","AAWW","2018",762204,-0.280034129692833
"121","AAWW","2019",762204,0.224806201550388
"122","AAXN","2007",493957,0.810062893081761
"123","AAXN","2008",493957,-0.633587786259542
"124","AAXN","2009",493957,-0.173584905660377
"125","AAXN","2010",493957,0.0538116591928252
"126","AAXN","2011",493957,0.0778947368421053
"127","AAXN","2012",493957,0.706106870229007
"128","AAXN","2013",493957,0.74522754997747
"129","AAXN","2014",493957,0.671717171717172
"130","AAXN","2015",493957,-0.352434456928839
"131","AAXN","2016",493957,0.425882352941176
"132","AAXN","2017",493957,0.0860655737704919
"133","AAXN","2018",493957,0.649698340874811
"134","AAXN","2019",493957,0.265643172830891
"135","AB","2007",823898,-0.00187149095446046
"136","AB","2008",823898,-0.677853205254289
"137","AB","2009",823898,0.408007626310772
"138","AB","2010",823898,-0.12872676253946
"139","AB","2011",823898,-0.382127659574468
"140","AB","2012",823898,0.378844711177794
"141","AB","2013",823898,0.29915014164306
"142","AB","2014",823898,0.301408450704225
"143","AB","2015",823898,-0.0141491395793498
"144","AB","2016",823898,0.0606060606060605
"145","AB","2017",823898,0.144421052631579
"146","AB","2018",823898,0.205588822355289
"147","AB","2019",823898,0.0953264094955489
"148","ABAX","2007",36105,0.858994297563504
"149","ABAX","2008",36105,-0.553108447170337
"150","ABAX","2009",36105,0.593886462882096
"151","ABAX","2010",36105,0.048828125
"152","ABAX","2011",36105,0.0240562546262029
"153","ABAX","2012",36105,0.372972972972973
"154","ABAX","2013",36105,0.0529473684210526
"155","ABAX","2014",36105,0.43650993210963
"156","ABAX","2015",36105,-0.0209387541441285
"157","ABAX","2016",36105,-0.0256128796194657
"158","ABAX","2017",36105,-0.0580936266215453
"159","ABAX","2018",36105,0.681258825902764
"160","ABBV","2013",61199,0.558132875143184
"161","ABBV","2014",61199,0.287413660782809
"162","ABBV","2015",61199,-0.0664431575739104
"163","ABBV","2016",61199,0.117809162934895
"164","ABBV","2017",61199,0.577717736808646
"165","ABBV","2018",61199,-0.014000411776817
"166","ABBV","2019",61199,-0.104997807978957
"167","ABC","2007",187024,0.0673025732031943
"168","ABC","2008",187024,-0.183494490667866
"169","ABC","2009",187024,0.467222222222222
