"","Ticker","Year","SimFinId","Return","Return2","Return3","Return4"
"1","A",2007,45846,0.0500142897970849,0.0531580451557588,0.0517933122557488,1.05315804515576
"2","A",2008,45846,-0.573766021270794,-0.394873193346059,-0.502317245138732,0.605126806653941
"3","A",2009,45846,0.991666666666667,0.117939448712155,0.111487212901384,1.11793944871216
"4","A",2010,45846,0.319847085058936,0.406628940986257,0.341196019816087,1.40662894098626
"5","A",2011,45846,-0.159528392685274,0.060961648540355,0.0591757124567303,1.06096164854036
"6","A",2012,45846,0.153459821428571,0.0297956867196368,0.0293604201569999,1.02979568671964
"7","A",2013,45846,0.367844439174769,0.421198668146504,0.351500648031242,1.4211986681465
"8","A",2014,45846,-0.000245183887915988,0.0959937156323645,0.0916614545973085,1.09599371563236
"9","A",2015,45846,0.027804759592035,0.351127819548872,0.30093966556776,1.35112781954887
"10","A",2016,45846,0.121212859230395,0.162661737523105,0.150711977853959,1.16266173752311
"11","A",2017,45846,0.46995427824951,0.56775668877201,0.44964573691061,1.56775668877201
"12","A",2018,45846,0.00965588846039739,-0.0412609970674486,-0.0421363965802213,0.958739002932551
"13","A",2019,45846,0.208721804511278,0.237805440295067,0.213340005446012,1.23780544029507
"14","AA",2016,367153,0.274660633484163,NA,NA,NA
"15","AA",2017,367153,0.883566433566433,1.16606334841629,0.772911394880711,2.16606334841629
"16","AA",2018,367153,-0.508324084350722,-0.284604375383357,-0.334919568171669,0.715395624616643
"17","AA",2019,367153,0.0849547293392411,-0.205417607223476,-0.229938594447038,0.794582392776524
"18","AAC",2014,939324,0.546,0.0890000000000001,0.0852598439508236,1.089
"19","AAC",2015,939324,-0.382572076449628,0.0526315789473684,0.0512932943875506,1.05263157894737
"20","AAC",2016,939324,-0.616525423728814,-0.292924935289042,-0.346618445155867,0.707075064710958
"21","AAC",2017,939324,0.234567901234568,-0.518248175182482,-0.730326183801699,0.481751824817518
"22","AAC",2018,939324,-0.844789356984479,-0.307788944723618,-0.367864376691469,0.692211055276382
"23","AAC",2019,939324,0.314285714285714,-0.669658886894075,-1.1076294823183,0.330341113105925
"24","AAL",2007,68568,-0.7270365559473,-0.486732232325107,-0.666957605708793,0.513267767674893
"25","AAL",2008,68568,-0.46872852233677,-0.627889908256881,-0.988565522946216,0.372110091743119
"26","AAL",2009,68568,-0.373868046571798,-0.709677419354839,-1.23676262714893,0.290322580645161
"27","AAL",2010,68568,1.06818181818182,2.77884615384615,1.32941871272789,3.77884615384615
"28","AAL",2011,68568,-0.498516320474777,-0.514309764309764,-0.722184233414491,0.485690235690236
"29","AAL",2012,68568,1.59615384615385,1.18671454219031,0.782400208342558,2.1867145421903
"30","AAL",2013,68568,0.840379008746356,0.805258833196384,0.590703979397083,1.80525883319638
"31","AAL",2014,68568,1.14718787395293,0.885208711433757,0.634038537016743,1.88520871143376
"32","AAL",2015,68568,-0.212417096536478,0.122586872586873,0.115635729699236,1.12258687258687
"33","AAL",2016,68568,0.140469847420683,-0.112554112554113,-0.119407731383385,0.887445887445887
"34","AAL",2017,68568,0.108925549915398,0.165638114045915,0.153268674442768,1.16563811404591
"35","AAL",2018,68568,-0.378750238868718,-0.260833333333333,-0.302231853466512,0.739166666666667
"36","AAL",2019,68568,0.0127145581691036,-0.0946175637393766,-0.099397843041177,0.905382436260623
"37","AAME",2007,450021,-0.548387096774194,-0.303225806451613,-0.361293889795027,0.696774193548387
