"","Ticker","SimFinId","Company.Name","IndustryId","Sector","Industry","Report.Date","Fiscal.Year","Long Term Debt","Income Tax (Expense) Benefit, Net","Shares (Diluted)","Revenue","Inventories"
"7045","KEM",641260,"KEMET CORP",101001,"Technology","Computer Hardware","2012-03-31",2011,345380000,-1076000,52320000,924052000,212234000
"7046","KEM",641260,"KEMET CORP",101001,"Technology","Computer Hardware","2013-03-31",2012,372707000,-3281000,44897000,823903000,198888000
"7047","KEM",641260,"KEMET CORP",101001,"Technology","Computer Hardware","2014-03-31",2013,391292000,-1482000,45102000,833666000,187974000
"7048","KEM",641260,"KEMET CORP",101001,"Technology","Computer Hardware","2015-03-31",2014,390409000,-5227000,45381000,823192000,171843000
"7049","KEM",641260,"KEMET CORP",101001,"Technology","Computer Hardware","2016-03-31",2015,385833000,-6006000,46004000,734823000,168879000
"7050","KEM",641260,"KEMET CORP",101001,"Technology","Computer Hardware","2017-03-31",2016,386211000,-4290000,55389000,757791000,147955000
"7051","KEM",641260,"KEMET CORP",101001,"Technology","Computer Hardware","2018-03-31",2017,304083000,-9181000,58640000,1199926000,204386000
"7052","KEYS",186556,"Keysight Technologies, Inc.",101001,"Technology","Computer Hardware","2014-10-31",2014,1.099e+09,-8.3e+07,1.67e+08,2.933e+09,4.98e+08
"7053","KEYS",186556,"Keysight Technologies, Inc.",101001,"Technology","Computer Hardware","2015-10-31",2015,1.099e+09,1.25e+08,1.71e+08,2.856e+09,4.87e+08
"7054","KEYS",186556,"Keysight Technologies, Inc.",101001,"Technology","Computer Hardware","2016-10-31",2016,1.1e+09,-3.1e+07,1.72e+08,2.918e+09,4.74e+08
"7055","KEYS",186556,"Keysight Technologies, Inc.",101001,"Technology","Computer Hardware","2017-10-31",2017,2.038e+09,-7.7e+07,1.82e+08,3.189e+09,5.88e+08
"7056","KEYS",186556,"Keysight Technologies, Inc.",101001,"Technology","Computer Hardware","2018-10-31",2018,1.291e+09,5.76e+08,1.91e+08,3.878e+09,6.19e+08
"7057","KHC",693432,"Kraft Heinz Co",102002,"Consumer Defensive","Consumer Packaged Goods","2014-12-31",2014,1.3358e+10,-1.31e+08,3.77e+08,1.0922e+10,1.185e+09
"7058","KHC",693432,"Kraft Heinz Co",102002,"Consumer Defensive","Consumer Packaged Goods","2015-12-31",2015,2.5151e+10,-3.66e+08,7.86e+08,1.8338e+10,2.618e+09
"7059","KHC",693432,"Kraft Heinz Co",102002,"Consumer Defensive","Consumer Packaged Goods","2016-12-31",2016,2.9713e+10,-1.381e+09,1.226e+09,2.6487e+10,2.684e+09
"7060","KHC",693432,"Kraft Heinz Co",102002,"Consumer Defensive","Consumer Packaged Goods","2017-12-31",2017,2.8333e+10,5.46e+09,1.228e+09,2.6232e+10,2.815e+09
"7061","KHC",693432,"Kraft Heinz Co",102002,"Consumer Defensive","Consumer Packaged Goods","2018-12-31",2018,3.077e+10,1.067e+09,1.219e+09,2.6268e+10,2.667e+09
"7062","KIM",378175,"Kimco Realty",109001,"Real Estate","REITs","2011-12-31",2011,1901684950.87354,-25789000,407669000,814477000,1144927034.42738
"7063","KIM",378175,"Kimco Realty",109001,"Real Estate","REITs","2012-12-31",2012,1931184996.55371,-15603000,406689000,793373000,1167392190.32967
"7064","KIM",378175,"Kimco Realty",109001,"Real Estate","REITs","2013-12-31",2013,1972519583.04834,-32654000,408614000,861527000,1179982651.89699
"7065","KIM",378175,"Kimco Realty",109001,"Real Estate","REITs","2014-12-31",2014,2140226112.03369,-22438000,411038000,993897000,1262435098.42878
"7066","KIM",378175,"Kimco Realty",109001,"Real Estate","REITs","2015-12-31",2015,2431445261.30371,-60230000,412851000,1166769000,1407085030.68082
"7067","KIM",378175,"Kimco Realty",109001,"Real Estate","REITs","2016-12-31",2016,2281221200.12988,-72545000,419709000,1170792000,1347111699.18619
"7068","KIM",378175,"Kimco Realty",109001,"Real Estate","REITs","2017-12-31",2017,2466316933.60742,880000,424019000,1200834000,1433946342.28672
"7069","KIM",378175,"Kimco Realty",109001,"Real Estate","REITs","2018-12-31",2018,2217142404.79346,-1600000,421379000,1164762000,1315505561.06531
"7070","KIRK",188255,"KIRKLAND'S, INC",103002,"Consumer Cyclical","Retail - Apparel & Specialty","2011-02-28",2010,540540292.343292,-15737000,20578000,415300000,44452000
"7071","KIRK",188255,"KIRKLAND'S, INC",103002,"Consumer Cyclical","Retail - Apparel & Specialty","2012-02-29",2011,543775292.170555,-11455000,20227000,430285000,47306000
"7072","KIRK",188255,"KIRKLAND'S, INC",103002,"Consumer Cyclical","Retail - Apparel & Specialty","2013-02-28",2012,546270308.871307,-7699000,17856000,448365000,49577000
"7073","KIRK",188255,"KIRKLAND'S, INC",103002,"Consumer Cyclical","Retail - Apparel & Specialty","2014-02-28",2013,548205487.207947,-9429000,17685000,460563000,52637000
"7074","KIRK",188255,"KIRKLAND'S, INC",103002,"Consumer Cyclical","Retail - Apparel & Specialty","2015-02-28",2014,550410340.97818,-11006000,17793000,507621000,55775000
"7075","KIRK",188255,"KIRKLAND'S, INC",103002,"Consumer Cyclical","Retail - Apparel & Specialty","2016-02-29",2015,555565167.628891,-9524000,17569000,561807000,68222000
"7076","KIRK",188255,"KIRKLAND'S, INC",103002,"Consumer Cyclical","Retail - Apparel & Specialty","2017-02-28",2016,562439585.856476,-5929000,16145000,594328000,73191000
"7077","KIRK",188255,"KIRKLAND'S, INC",103002,"Consumer Cyclical","Retail - Apparel & Specialty","2018-02-28",2017,570464344.953247,-4520000,16166000,634117000,81255000
"7078","KITE",73743,"Kite Pharma, Inc.",106002,"Healthcare","Biotechnology","2013-12-31",2013,519588571.180325,5946443.13694729,5473384,1122628937.96359,318810766.050376
"7079","KITE",73743,"Kite Pharma, Inc.",106002,"Healthcare","Biotechnology","2014-12-31",2014,492252409.850235,19424583.3963421,22822204,1111494982.03904,319793154.375809
"7080","KITE",73743,"Kite Pharma, Inc.",106002,"Healthcare","Biotechnology","2015-12-31",2015,502829578.650604,43750494.4335504,43636652,17258000,325907943.764028
"7081","KITE",73743,"Kite Pharma, Inc.",106002,"Healthcare","Biotechnology","2016-12-31",2016,520952401.383972,2894000,48940290,22170000,329079029.87896
"7082","KKR",805180,"KKR & Co. Inc.",104001,"Financial Services","Asset Management","2010-12-31",2010,1486960000,-75360000,483431048,435386000,503422636.094722
"7083","KKR",805180,"KKR & Co. Inc.",104001,"Financial Services","Asset Management","2011-12-31",2011,1564716000,-89245000,483431048,723620000,544773391.002169
"7084","KKR",805180,"KKR & Co. Inc.",104001,"Financial Services","Asset Management","2012-12-31",2012,1123414000,-43405000,483431048,568442000,675802698.127625
"7085","KKR",805180,"KKR & Co. Inc.",104001,"Financial Services","Asset Management","2013-12-31",2013,1908606000,-37926000,483431048,762546000,873543096.969293
"7086","KKR",805180,"KKR & Co. Inc.",104001,"Financial Services","Asset Management","2014-12-31",2014,10837784000,-63669000,483431048,1110008000,1081989104.09865
